title,link,score,review
호빗 : 뜻밖의 여정,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=68073&target=after,9,언제 봐도 재밌는 명작
지.아이.조 - 전쟁의 서막,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=45979&target=after,6,가슴팍 다 드러낼 거면 방탄슈트 왜 입음? 스타워즈 잡졸들 마냥 털릴 거면 최고의 군조직이라는 설정은 왜 넣었음? 그냥 우당탕 와장창하는 재미로는 볼 만한데 설정들이 너무 어설픔. 병헌이 형은 많이 나옴.
구세주 2,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=51705&target=after,10,끝까지 보면 안다  걸작이라는걸.  코믹한 요소도 많지만. 감동적입니다 ..여러번 보는 영화.
싱크홀,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=188472&target=after,10,아무생각없이 봤는데 재밌게 봤습니다
라라랜드,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=134963&target=after,6,너무 뜬금 없는 결말...
에볼루션,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=32600&target=after,10,"""정부에 알려선안돼 내가 그쪽을 잘알아 절대안돼""  (아이라가 해리에게)엑스파일 멀더 유머 ㅋㅋㅋㅋ누나랑 같이 봤던 영화 잘지내죠?"
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,5,다른 마블 영화들에 비하면 많이 아쉬웠음그래도 재미있었음 동석오빠 짱>.<
싱크홀,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=188472&target=after,10,진짜 차승원과 함께하는 연기분들 넘 잼나게봄 ㅎㅎ
디어 에반 핸슨,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=207940&target=after,8,감당 안될 거짓말을 한번쯤 해보며 살아간다.그때의 경험이 지금의 나에게 어떤 변화와 의미가 있는지 어떻게 극복했는지 되새기게 해주는 영화
프렌치 디스패치,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187312&target=after,9,씨네 21 영알못새끼들 드디어 정신이 나간거임? 이걸 장르만 로맨스랑 같은 평점을 줄 수가 있는거임?
레드 노티스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191543&target=after,8,그냥 마음비우고 보면 재미있는 영화. ㅋ
베놈 2: 렛 데어 비 카니지,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187323&target=after,1,90분이 아니라 150분 짜리 영화인 줄.너무 지루함. 쿠키 영상 외에는 건진 게 아무 것도 없음.베놈은 스파이더 맨 나와도 극장가서 보지 않을 듯.
죽이러 간다,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=210802&target=after,10,오늘 CGV압구정에서 영화 봤는데요....전체적으로영화를 잘 만들었다는 생각이 들었고 후반부에는 저도 모르게 눈물이 나왔어요~관객중에 아저씨 한분은 여러번 웃고 계시던데...그분때문에 저도 웃었네요 ㅎㅎ 좋은영화 잘 봤습니다!!
나의 특별한 형제,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=175366&target=after,10,감사~~~~ㅇㅇㅇㅇ
